states,NAME_OF_LGA
EBONYI,EZZA SOUTH
EBONYI,IKWO
EBONYI,ISHIELU
EBONYI,IVO
EBONYI,IZZI
EBONYI,OHAOZARA
EBONYI,OHAUKWU
EBONYI,ONICHA
EDO,AKOKO EDO
EDO,EGOR
EDO,ESAN CENTRAL
EDO,ESAN NORTH EAST
EDO,ESAN SOUTH EAST
EDO,ESAN WEST
EDO,ETSAKO CENTRAL
EDO,ETSAKO EAST
EDO,ETSAKO WEST
EDO,IGUEBEN
EDO,IKPOBA/OKHA
EDO,OREDO
EDO,ORHIONMWON
EDO,OVIA NORTH EAST
EDO,OVIA SOUTH WEST
EDO,OWAN EAST
EDO,OWAN WEST
EDO,UHUNMWODE
EKITI,ADO EKITI
EKITI,EFON
EKITI,EKITI EAST
EKITI,EKITI WEST
EKITI,EKITI SOUTH WEST
EKITI,EMURE
EKITI,GBOYIN
EKITI,IDO/OSI
EKITI,IJERO
EKITI,IKERE
EKITI,IKOLE
EKITI,ILEJEMEJE
EKITI,IREPODU/IFELODUN
EKITI,ISE/ORUN
EKITI,MOBA
EKITI,OYE
ENUGU,ANINRI
ENUGU,AWGU
ENUGU,ENUGU-EAST
ENUGU,ENUGU-NORTH
ENUGU,ENUGU-SOUTH
ENUGU,EZEAGU
ENUGU,IGBO ETITI
ENUGU,IGBO-EZE NORTH
ENUGU,IGBO-EZE SOUTH
ENUGU,ISI-UZO
ENUGU,NKANU EAST
ENUGU,NKANU WEST
ENUGU,NSUKKA
ENUGU,OJI-RIVER
ENUGU,UDENU
ENUGU,UDI
ENUGU,UZO-UWANI
FCT,ABAJI
FCT,BWARI
FCT,GWAGWALADA
FCT,KUJE
FCT,KWALI
FCT,MUNICIPAL
GOMBE,AKKO
GOMBE,BALANGA
GOMBE,BILLIRI
GOMBE,DUKKU
GOMBE,FUNAKAYE 
GOMBE,GOMBE
GOMBE,KALTUNGO
GOMBE,KWAMI
GOMBE,NAFADA
GOMBE,SHONGOM
GOMBE,YAMALTU/DEBA
IMO,ABOH MBAISE
IMO,AHAIAZU MBAISE
IMO,EHIME MBANO
IMO,EZINIHITTE MBAISE
IMO,IDEATO NORTH
IMO,IDEATO SOUTH
IMO,IHITTE/UBOMA
IMO,IKEDURU
IMO,ISIALA MBANO
IMO,ISU
IMO,MBAITOLU
IMO,NGOW OKPALA
IMO,NJABA
IMO,NKWERRE
IMO,NWANGELE
IMO,OBOWO
IMO,OGUTA
IMO,OHAJI/EGBEMA
IMO,OKIGWE
IMO,ONUIMO
IMO,ORLU
IMO,ORSU
IMO,ORU-EAST
IMO,ORU-WEST
IMO,OWERRI-URBAN
IMO,OWERRI NORTH
IMO,OWERRI WEST
JIGAWA,AUYO
JIGAWA,BABURA
JIGAWA,BIRNIN-KUDU
JIGAWA,BIRNIWA
JIGAWA,BUJI
JIGAWA,DUTSE
JIGAWA,GARKI
JIGAWA,GAGARAWA
JIGAWA,GUMEL
JIGAWA,GURI
JIGAWA,GWARAM
JIGAWA,GWIWA
JIGAWA,HADEJIA
JIGAWA,JAHUN
JIGAWA,KAFIN-HAUSA
JIGAWA,KAUGAMA
JIGAWA,KAZAURE
JIGAWA,K/KASAMMA
JIGAWA,KIYAWA
JIGAWA,MAIGATARI
JIGAWA,M/MADORI
JIGAWA,MIGA
JIGAWA,RINGIM
JIGAWA,RONI
JIGAWA,S/TANKARKAR
JIGAWA,TAURA
JIGAWA,YANKWASHI
KADUNA,BIRNIN GWARI
KADUNA,CHIKUN
KADUNA,GIWA
KADUNA,IGABI
KADUNA,IKARA
KADUNA,JABA
KADUNA,JEMAOAO
KADUNA,KACHIA
KADUNA,KADUN NORTH
KADUNA,KADUN SOUTH
KADUNA,KAGARKO
KADUNA,KAJURU
KADUNA,KAURA
KADUNA,KAURU
KADUNA,KUBAU
KADUNA,KUDAN
KADUNA,LERE     
KADUNA,MAKARFI
KADUNA,SABON GARI
KADUNA,SANGA
KADUNA,SOBA
KADUNA,ZAGON KATAF
KADUNA,ZARIA
KANO,AJINGI
KANO,ALBASU
KANO,BAGWAI
KANO,BEBEJI
KANO,BICHI
KANO,BUNKURE
KANO,DALA
KANO,DANBATTA
KANO,DAWAKIN KUDU
KANO,DAWAKIN TOFA
KANO,DOGUWA
KANO,FAGGE
KANO,GABASAWA
KANO,GARKO
KANO,GARUN MALAM
KANO,GAYA
KANO,GEZAWA
KANO,GWALE
KANO,GWARZO
KANO,KABO
KANO,KANO MUNICIPAL
KANO,KARAYE
KANO,KIBIYA
KANO,KIRU
KANO,KUMBOTSO
KANO,KUNCHI
KANO,KURA
KANO,MAKODA
KANO,MINJIBIR
KANO,MADOBI
KANO,NASARAWA
KANO,RANO
KANO,RIMIN GADO
KANO,ROGO
KANO,SHANONO
KANO,SUMAILA
KANO,TAKAI
KANO,TARAUNI
KANO,TOFA
KANO,TUDUN WADA
KANO,TSANYAWA
KANO,UNGOGO
KANO,WARAWA
KANO,WUDIL
KATSINA,BAKORI
KATSINA,BATAGARAWA
KATSINA,BATSARI
KATSINA,BAURE
KATSINA,BINDAWA
KATSINA,CHARANCHI
KATSINA,DANDUME
KATSINA,DANJA
KATSINA,DANMUSA
KATSINA,DAURA
KATSINA,DUTSI
KATSINA,DUTSIN- MA
KATSINA,FASKARI
KATSINA,FUNTUA
KATSINA,INGAWA
KATSINA,JIBIA
KATSINA,KAFUR
KATSINA,KAITA
KATSINA,KANKARA
KATSINA,KANKIA
KATSINA,KATSINA
KATSINA,KURFI
KATSINA,KUSADA
KATSINA,MAIADUA
KATSINA,MALUMFASHI
KATSINA,MANI
KATSINA,MASHI
KATSINA,MATAZU
KATSINA,MUSAWA
KATSINA,RIMI
KATSINA,SABUWA
KATSINA,SAFANA
KATSINA,SANDAMU
KATSINA,ZANGO
KEBBI,ALIERO
KEBBI,AREWA
KEBBI,ARGUNGU
KEBBI,AUGIE
KEBBI,BAGUDO 
KEBBI,BIRNIN KEBBI
KEBBI,BUNZA
KEBBI,DANDI
KEBBI,FAKAI
KEBBI,GWANDU
KEBBI,JEGA
KEBBI,KALGO
KEBBI,KOKO/BESSE
KEBBI,MAIYAMA
KEBBI,NGASKI
KEBBI,SAKABA
KEBBI,SHANGA
KEBBI,SURU
KEBBI,WASAGU/DANKO
KEBBI,YAURI
KEBBI,ZURU
KOGI,ADAVI
KOGI,AJAOKUTA
KOGI,ANKPA
KOGI,BASSA
KOGI,DEKINA
KOGI,IBAJI
KOGI,IDAH
KOGI,IGALA-MELA
KOGI,IJUMU
KOGI,KABBA/BUNU
KOGI,KOGI (KK)
KOGI,LOKOJA
KOGI,MOPA-MORO
KOGI,OFU
KOGI,OGORI MAGONGO
KOGI,OKEHI
KOGI,OKEN
KOGI,OLAMABORO
KOGI,OMALA
KOGI,YAGBA EAST
KOGI,YAGBA WEST
KWARA,ASA
KWARA,BARUTEN
KWARA,EDU
KWARA,EKITI
KWARA,IFELODUN
KWARA,ILORIN EAST
KWARA,ILORIN SOUTH
KWARA,ILORIN WEST
KWARA,IREPODUN
KWARA,ISIN
KWARA,KALAMA
KWARA,MORO
KWARA,OFFA
KWARA,OKE-ERO
KWARA,OYUN
KWARA,PATIGI
LAGOS,AGEGE
LAGOS,AJEROMI/IFELODUN
LAGOS,ALIMOSHO
LAGOS,AMUWO-ODOFIN
LAGOS,APAPA
LAGOS,BADAGRY
LAGOS,EPE
LAGOS,ETI-OSA
LAGOS,IBEJU/LEKKI
LAGOS,IFAKO-IJAYE
LAGOS,IKEJA
LAGOS,IKORODU
LAGOS,KOSOFE
LAGOS,LAGOS ISLAND
LAGOS,LAGOS MAINLAND
LAGOS,MUSHIN
LAGOS,OJO
LAGOS,OSHODI-ISOLO
LAGOS,SHOMOLU
LAGOS,SURULERE
NASARAWA,AKWANGA
NASARAWA,AWE
NASARAWA,DOMA
NASARAWA,KARU
NASARAWA,KEANA
NASARAWA,KEFFI
NASARAWA,KOKONA
NASARAWA,LAFIA
NASARAWA, NASARAWA
NASARAWA,NASARAWA/EGGON
NASARAWA,OBI
NASARAWA,TOTO
NASARAWA,WAMBA
NIGER,AGAIE
NIGER,AGWARA
NIGER,BIDA
NIGER,BORGU
NIGER,BOSSO
NIGER,CHANCHAGA
NIGER,EDATI
NIGER,GBAKO
NIGER,GURARA
NIGER,KATCHA
NIGER,KONTAGORA
NIGER,LAPAI
NIGER,LAVUN
NIGER,MAGAMA
NIGER,MARIGA
NIGER,MASHEGU
NIGER,MOKWA
NIGER,MUNYA
NIGER,PAIKORO
NIGER,RAFI
NIGER,RIJAU
NIGER,SHIRORO
NIGER,SULEJA
NIGER,TAFA
NIGER,WUSHISHI
OGUN,ABEOKUTA NORTH
OGUN,ABEOKUTA SOUTH
OGUN,ADO-ODO-OTA
OGUN,EGBADO NORTH
OGUN,EGBADO SOUTH
OGUN,EWEKORO
OGUN,IFO
OGUN,IJEBU EAST
OGUN,IJEBU NORTH
OGUN,IJEBU NORTH EAST
OGUN,IJEBU ODE
OGUN,IKENNE
OGUN,IMEKO/AFON
OGUN,IPOKIA
OGUN,OBAFEMI/OWODE
OGUN,ODEDA
OGUN,ODOGBOLU
OGUN,OGUN WATER SIDE
OGUN,REMO NORTH
OGUN,SAGAMU
ONDO,AKOKO NORTH EAST
ONDO,AKOKO NORTH WEST
ONDO,AKOKO SOUTH EAST
ONDO,AKOKO SOUTH WEST
ONDO,AKURE NORTH
ONDO,AKURE SOUTH
ONDO,ESE-ODO
ONDO,IDANRE
ONDO,IFEDORE
ONDO,ILAJE
ONDO,ILEOLUJI/OKE-IGBO
ONDO,IRELE
ONDO,ODIGBO
ONDO,OKITIPUPA
ONDO,ONDO EAST
ONDO,ONDO WEST
ONDO,OSE
ONDO,OWO
OSUN,ATAKUMOSA EAST
OSUN,ATAKUNMOSA WEST
OSUN,AYEDADE
OSUN,AYEDIRE
OSUN,BOLUWA-DURO
OSUN,BORIPE
OSUN,EDE NORTH
OSUN,EDE SOUTH
OSUN,EGBEDORE
OSUN,EJIGBO
OSUN,IFE CENTRAL
OSUN,IFEDAYO
OSUN,IFE EAST
OSUN,IFELODUN
OSUN,IFE NORTH
OSUN,IFE SOUTH
OSUN,ILA
OSUN,ILESA EAST
OSUN,ILESA WEST
OSUN,IREPODUN
OSUN,IREWOLE
OSUN,ISOKAN
OSUN,IWO
OSUN,OBOKUN
OSUN,ODO-OTIN
OSUN,OLA-OLUWA
OSUN,OLORUNDA
OSUN,ORIADE
OSUN,OROLU
OSUN,OSOGBO
OYO,AFIJIO
OYO,AKINYELE
OYO,ATIBA
OYO,ATISBO
OYO,EGBEDA
OYO,IBADAN NORTH
OYO,IBADAN NORTH EAST
OYO,IBADAN NORTH WEST
OYO,IBADAN SOUTH-EAST
OYO,IBADAN SOUTH WEST
OYO,IBARAPA CENTRAL
OYO,IBARAPA EAST
OYO,IBARAPA NORTH
OYO,IDO
OYO,IREPO
OYO,ISEYIN
OYO,ITESIWAJU
OYO,IWAJOWA
OYO,KAJOLA
OYO,LAGELU
OYO,OGBOMOSO NORTH
OYO,OGBOMOSO SOUTH
OYO,OGO-OLUWA
OYO,OLORUNSOGO
OYO,OLUYOLE
OYO,ONA-ARA
OYO,OORELOPE
OYO,ORI IRE
OYO,OYO EAST
OYO,OYO WEST
OYO,SAKI EAST
OYO,SAKI WEST
OYO,SURULERE
PLATEAU,BARKIN LADI
PLATEAU,BASSA
PLATEAU,BOKKOS
PLATEAU,JOS EAST
PLATEAU, JOS NORTH
PLATEAU,JOS SOUTH
PLATEAU,KANAM
PLATEAU,KANKE
PLATEAU,LANG-TANG NORTH
PLATEAU,LANG-TANG SOUTH
PLATEAU,MANGU
PLATEAU,MIKANG
PLATEAU,PANKSHIN
PLATEAU,QU AN PAN
PLATEAU,RIYOM
PLATEAU,SHENDAM
PLATEAU,WASE
RIVERS,ABUA-ODUAL
RIVERS,AHODA EAST
RIVERS,AHOADA WEST
RIVERS,AKUKUTORU
RIVERS,ANDONI
RIVERS,ASARI-TORU
RIVERS,BONNY
RIVERS,DEGEMA
RIVERS,ELEME
RIVERS,EMOHUA
RIVERS,ETCHE
RIVERS,GOKANA
RIVERS,IKWERRE
RIVERS,KHANA
RIVERS,OBIO/AKPOR
RIVERS,OGBA/EGBEMA/NDONI
RIVERS,OGU/BOLO
RIVERS,OKRIKA
RIVERS,OMUMA
RIVERS,OPOBO/NKORO
RIVERS,OYIGBO
RIVERS,PORT HARCOURT
RIVERS,TAI
SOKOTO,BINJI
SOKOTO,BODINGA
SOKOTO,DANGE/SHUNI
SOKOTO,GADA
SOKOTO,GORONYO
SOKOTO,GUDU
SOKOTO,GWADABAWA
SOKOTO,ILLELA
SOKOTO,ISA
SOKOTO,KWARE
SOKOTO,KEBBE
SOKOTO,RABAH
SOKOTO,S/BIRNI
SOKOTO,SHAGARI
SOKOTO,SILAME
SOKOTO,SOKOTO NORTH
SOKOTO,SOKOTO SOUTH
SOKOTO,TAMBUWAL
SOKOTO,TANGAZA
SOKOTO,TURETA
SOKOTO,WAMAKKO
SOKOTO,WURNO
SOKOTO,YABO
TARABA,ARDO KOLA
TARABA,BALI
TARABA,DONGA
TARABA,GASHAKA
TARABA,GASSOL
TARABA,IBI
TARABA,JALINGO
TARABA,LAMIDO
TARABA,KURMI
TARABA,LAU
TARABA,SARDAUNA
TARABA,TAKUM
TARABA,USSA
TARABA,WUKARI
TARABA,YORRO
TARABA,ZING
YOBE,BADE
YOBE,BURSARI
YOBE,DAMATURU
YOBE,FIKA
YOBE,FUNE
YOBE,GEIDAM
YOBE,GUJBA
YOBE,GULANI
YOBE,JAKUSKO
YOBE,KARASUWA
YOBE,MACHINA
YOBE,NANGERE
YOBE,NGURU
YOBE,POTISKUM
YOBE,TARMUWA
YOBE,YUNUSARI
YOBE,YUSUFARI
ZAMFARA,ANKA
ZAMFARA,BAKURA
ZAMFARA,BIRNIN MAGAJI
ZAMFARA,BUKKUYUM
ZAMFARA,BUNGUDU
ZAMFARA,GUMMI
ZAMFARA,GUSAU
ZAMFARA,KAURA NAMODA
ZAMFARA,MARADUN
ZAMFARA,MARU
ZAMFARA,SHINKAFI
ZAMFARA,TALATA MAFARA
ZAMFARA,TSAFE
ZAMFARA,ZURMI
